,Empresas,Cargos,Salarios,Ciudades,Urls
7767,Empresa confidencial,"Psicólogo(a) clínico -social enfoque psicodinámico, transpersonal y/o gestáltico.","$4,5 a $5,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/psicologoa-clinico-social-enfoque-psicodinamico-transpersonal-y-o-gestaltico/1885614077
7768,Empresa confidencial,Consultor de nomina - bogota,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/consultor-de-nomina-bogota/1885614119
7769,DROPOPULAR S.A.S,Auxiliar farmacia / ventas drogueria bogotá,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/auxiliar-farmacia---ventas-drogueria-bogota/1885614102
7770,SOLVO,Trabaja como intérprete cantonés - español (lcpm),Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/trabaja-como-interprete-cantones-espanol-lcpm/1885614120
7771,BANCO MUNDO MUJER,Analista de crédito agropecuario piedecuesta santander,"$2 a $2,5 millones",Piedecuesta,https://www.elempleo.com/co/ofertas-trabajo/analista-de-credito-agropecuario-piedecuesta-santander/1885614080
7772,MICHAEL PAGE INTERNATIONAL,Ptp (procure to pay) specialist - especialista de cuentas por pagar,"$3 a $3,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/ptp-procure-to-pay-specialist-especialista-de-cuentas-por-pagar/1885614122
7773,Empresa confidencial,Ejecutivo comercial salud - funza,"$1 a $1,5 millones",Funza,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-salud-funza/1885614121
7774,SOLVO,Agente de reservaciones (ventas) lcpm,Salario a convenir,Barranquilla,https://www.elempleo.com/co/ofertas-trabajo/agente-de-reservaciones-ventas-lcpm/1885614084
7775,ADECCO COLOMBIA S A,Ingeniero eléctrico - con tarjeta profesional,Salario a convenir,Medellín,https://www.elempleo.com/co/ofertas-trabajo/ingeniero-electrico-con-tarjeta-profesional/1885614125
7776,Empresa confidencial,Trabajadoa social - girardot,"$1 a $1,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/trabajadoa-social-girardot/1885614074
7777,Empresa confidencial,Ejecutivo comercial salud - cajicá,"$1 a $1,5 millones",Cajicá,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-salud-cajica/1885614069
7778,Empresa confidencial,Ejecutivo comercial salud - madrid,"$1 a $1,5 millones",Madrid,https://www.elempleo.com/co/ofertas-trabajo/ejecutivo-comercial-salud-madrid/1885614110
7779,INDRA COLOMBIA LTDA,Asesor comercial telecomunicaciones punto de venta- duitama,Salario a convenir,Duitama,https://www.elempleo.com/co/ofertas-trabajo/asesor-comercial-telecomunicaciones-punto-de-venta-duitama/1885614106
7780,Empresa confidencial,Secretaria de obra o asistente administrativa de obra - chía,"$1,5 a $2 millones",Bogotá alrededores,https://www.elempleo.com/co/ofertas-trabajo/secretaria-de-obra-o-asistente-administrativa-de-obra-chia/1885595875
7781,Empresa confidencial,Analista de riesgo operativo,"$3,5 a $4 millones",Remoto,https://www.elempleo.com/co/ofertas-trabajo/analista-de-riesgo-operativo/1885614201
7782,Servicio de empleo Comfama,Administrador/a punto de venta 1626317976.9,"$1,5 a $2 millones",Medellín,https://www.elempleo.com/co/ofertas-trabajo/administrador-a-punto-de-venta-16263179769/1885614213
7783,InterService S.A.,Analista de novedades y seguridad social,"$1,5 a $2 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-de-novedades-y-seguridad-social/1885614209
7784,Urimglob S.A.S.,Analista ii de seguridad de la información,"$2,5 a $3 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/analista-ii-de-seguridad-de-la-informacion/1885614190
7785,DISTRIQUIMICOS ALDIR SAS,Bacteriólogos o microbiólogos ejecutivo/a de ventas y recaudo bucaramanga y santanderes,"$4,5 a $5,5 millones",Bogotá,https://www.elempleo.com/co/ofertas-trabajo/bacteriologos-o-microbiologos-ejecutivo-a-de-ventas-y-recaudo-bucaramanga-y-santanderes/1885614162
